Doctor Name,Doctor Profile URL,Doctor Image,Experience (Years),Specialties,Rating (Max 5),Consultation Fee (BDT)
Dr. Shafwanur Rahman,https://doctime.com.bd/doctors/dr-shafwanur-rahman-195690,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/244578/profile_photos/QBssJtiJpw7Gvqvra3YKL6gDn7aLYT0IOamHmvPe.jpg,9,"Dermatology,General Physician",5,449
Dr. MAHMODUL HASAN Al- FARABY,https://doctime.com.bd/doctors/dr-mahmodul-hasan-al-faraby-57592,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/69133/profile_photos/4rvynKLBN9lal1PFDO9KKfMRllC1bx9F0BcES7Of.jpg,9,General Physician,5,330
Dr. Farid Hossain Chowdhury,https://doctime.com.bd/doctors/dr-farid-hossain-chowdhury-30221,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/35890/profile_photos/Yv0FGmpR3SzbB37RAHg9CTGP2tmhvpemfBSbOLR6.jpg,6,General Physician,5,550
Dr. Rummanul Ferdaous,https://doctime.com.bd/doctors/dr-rummanul-ferdaous-15659946,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/15761919/profile_photos/4h9UH8975k1SK38uzpEwi16rF7x9fgtujf55BiYd.jpg,3,General Physician,5,350
Dr. Mezbah Uddin,https://doctime.com.bd/doctors/dr-mezbah-uddin-15677293,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/15779394/profile_photos/pNLUb5fKJcBKQwhuwEKeu7IpF8VILcCB9NckcbHw.jpg,3,"General Physician,Internal Medicine",5,300
Dr. K. Ehsan,https://doctime.com.bd/doctors/dr-k-ehsan-115071,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/143407/profile_photos/IJZT0FXsPpuD5JGB63Uf0MnwxFvJiNQn7dVR3BZf.jpg,7,"General Physician,Cardiologist",5,300
Dr. Sakib Ibne Shahidullah,https://doctime.com.bd/doctors/dr-sakib-ibne-shahidullah-100354,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/123577/profile_photos/aLTRMjpgUgHcHTUaUyUdxXiDTZwsFrqCoxPOKQA3.jpg,11,"General Physician,Child Specialist",5,400
Dr. Tajkiatul Islam Mohua,https://doctime.com.bd/doctors/dr-tajkiatul-islam-mohua-139382,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/174936/profile_photos/hf1eum5nXQOnud9ns6mXveRXgCF61RvnV7uJtcV3.png,6,"General Physician,Internal Medicine,Endocrinologist",4.9,260
Dr. Pradikta Das Shreya,https://doctime.com.bd/doctors/dr-pradikta-das-shreya-57587,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/69127/profile_photos/nJpA4bNpKIEEw8d6j4K1QszOUP5KoulbMv4urPDG.jpg,9,"General Physician,Internal Medicine",4.9,330
Dr. Mrinmoy Paul,https://doctime.com.bd/doctors/dr-mrinmoy-paul-5658085,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/5710727/profile_photos/Y7prxFRpjDJffdbOU9XK5zVkR9QSHAbicQVurGGy.png,2,"General Physician,Child Specialist",5,260
Dr. Sanzida Rahman,https://doctime.com.bd/doctors/dr-sanzida-rahman-109290,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/135659/profile_photos/nTwa1g9BgfXdkVBLpaIBEuYc7p8g8vliZfHMX8Cm.jpg,12,"General Physician,Gynae & Obs",4.9,250
Dr. Mahjura Najnin,https://doctime.com.bd/doctors/dr-mahjura-najnin-7144072,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/7190463/profile_photos/tmzAbAMgS1OhleucaiM3UD1OgrdcaiNsoHrbDpuB.png,9,"General Physician,Gynae & Obs",5,250
Dr. Suman Kumar Paul,https://doctime.com.bd/doctors/dr-suman-kumar-paul-6193622,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/6234685/profile_photos/Ej88aT8OKsIY4RUzRW5la2gbHDhro7i12rVx3liE.png,5,"General Physician,Child Specialist",5,300
Dr. Md. Arafat Hossain,https://doctime.com.bd/doctors/dr-md-arafat-hossain-820368,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/942378/profile_photos/98mw9RXxRbTRp0R1M0CmcCe0hZM0dTHpXi1oVIBh.jpg,6,"General Physician,Dermatology",5,350
Dr. Sabnoor Jahan Nishy,https://doctime.com.bd/doctors/dr-sabnoor-jahan-nishy-146340,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/183900/profile_photos/uJFJBejWUIyPcqaGQOZBfWORskQQ5RUobyV117I8.jpg,6,General Physician,5,400
Assoc. Prof. Dr. Syed Mortaza Ali,https://doctime.com.bd/doctors/assoc-prof-dr-syed-mortaza-ali-16584497,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16703324/profile_photos/FCdZrKWBuAceZGPDsKKqffkFxEqjNzPqmb8Mxf1v.jpg,19,"Child Specialist,General Physician",5,575
Dr. Mostafizur Rahman,https://doctime.com.bd/doctors/dr-mostafizur-rahman-356332,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/425886/profile_photos/XbaRVCBX01wrzv99DkUDD0K9LvLSUPOMb8X9MDq3.png,10,"ENT Specialist,General Physician",5,335
Dr. Sabrina Islam,https://doctime.com.bd/doctors/dr-sabrina-islam-2626936,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/2732945/profile_photos/jQB31Tec3oP7ob5YlrxiCStOWch1ZHPNFbJPlSto.png,5,"General Physician,Gynae & Obs",5,300
Dr. Faisal Ahmed,https://doctime.com.bd/doctors/dr-faisal-ahmed-5563,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/5521/profile_photos/94ATb119hRA36VLvOPgG4wugzTiTLAtWNwtnQ0dV.jpg,6,General Physician,4.9,300
Dr. NAZNEEN NAHAR,https://doctime.com.bd/doctors/dr-nazneen-nahar-225297,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/280204/profile_photos/kKKxMyO97b7gdBzoYahnt87PnxW7RRDNRcNFPydl.png,12,"Gynae & Obs,General Physician",4.9,800
Dr. Rifat Ara Nova,https://doctime.com.bd/doctors/dr-rifat-ara-nova-82103,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/100038/profile_photos/9AhMiSj3UaXSwiX80yvAitFSmzNeXhOE3PIsZEjH.jpg,7,"General Physician,Gynae & Obs",4.9,300
Dr. Ekramul Haque,https://doctime.com.bd/doctors/dr-ekramul-haque-140550,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/176438/profile_photos/mXWVXbRARcpOOxfmD9Bb7tVvDDRoLGAcuLMx2hUq.png,6,"General Physician,Psychiatrist,Dermatology",4.9,350
Dr. Zahidul Islam,https://doctime.com.bd/doctors/dr-zahidul-islam-2810,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/2768/profile_photos/lD6FTtq1yMMXJyfIcy1iWDo5iJNjm6X4OoCSQXps.jpg,7,"General Physician,Internal Medicine,Dermatology",4.9,350
Dr. Maharun Nahar Mehie,https://doctime.com.bd/doctors/dr-maharun-nahar-mehie-264607,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/324213/profile_photos/6Oes0KyYHTNiCFCpl9SKZVUFuG4X5MI8FVqRiOHy.jpg,5,"General Physician,Gynae & Obs",4.9,365
Dr. Moloy Sarkar,https://doctime.com.bd/doctors/dr-moloy-sarkar-14680815,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/14773974/profile_photos/k2XoNiYoxO6hOBRm9SLo8JiBVdQToDEIjbKg17l7.jpg,10,"General Physician,Orthopedics",5,300
Dr. Md.Imran Hossain,https://doctime.com.bd/doctors/dr-mdimran-hossain-3833986,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/3925157/profile_photos/cUwK2YvnfeKVPtxsd9POiGjwUfGo85FnRG27P2Qx.png,7,"General Physician,ENT Specialist,Internal Medicine,Neurologist",4.9,250
Asst. Prof. Dr. Nazmun Naher,https://doctime.com.bd/doctors/asst-prof-dr-nazmun-naher-59800,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/71632/profile_photos/Xs3YgSDpIkik5f1pB7wUCt1ZZuV5p4pfE9tz6Lvw.jpg,9,"Medicine Specialist,General Physician",5,850
Dr. Mohammad Zahurul Islam,https://doctime.com.bd/doctors/dr-mohammad-zahurul-islam-16373118,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16483928/profile_photos/C7VscozxrCmfwGOVmQLZnYrRDTs6w2lo2lHlq17V.jpg,10,"Cardiologist,General Physician",5,450
Dr. Md. Humayun Kabir,https://doctime.com.bd/doctors/dr-md-humayun-kabir-178816,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/223100/profile_photos/4LKz0ztVKl58u97VXV0c7Stb0ca8A5i0jM45KBOS.jpg,9,"General Physician,Gastroenterology",4.9,450
Dr. Khadiza Tasnim,https://doctime.com.bd/doctors/dr-khadiza-tasnim-44537,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/52920/profile_photos/2p2FGr7qGzZRRorSXuYkVi4JfOBlco9qyX1A7qf5.png,8,"Dermatology,General Physician",4.9,349
Dr. Puja Majumder,https://doctime.com.bd/doctors/dr-puja-majumder-56,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/55/profile_photos/R73H4zNkjgCo5pgnzK77HQqG8IckoXKajiwe36xf.png,6,General Physician,4.9,300
Asst. Prof. Dr. Akhter Uz Zaman Sajib,https://doctime.com.bd/doctors/asst-prof-dr-akhter-uz-zaman-sajib-3578,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/3536/profile_photos/4garoNQfmOcu6aVQRokfttzgMhuh2RKU5Ls4qQX0.jpg,9,"Family Medicine,General Physician,Internal Medicine,Dermatology",4.9,650
Dr. Dilruba Sharmin,https://doctime.com.bd/doctors/dr-dilruba-sharmin-152390,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/191526/profile_photos/rqjqY0RBRPoqPVxKat8WUlTKyTT65uqNgKQ0HXM4.jpg,10,"Dermatology,General Physician",4.9,539
Asst. Prof. Dr. Md. Hasan Hafijur Rahman,https://doctime.com.bd/doctors/asst-prof-dr-md-hasan-hafijur-rahman-6826780,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/6871550/profile_photos/ChREVGo3CEX1mS3nuGKXSixyMmy2lIpERb7SVyvS.png,9,"ENT Specialist,General Physician",5,470
Asst. Prof. Dr. Fateha Naznin,https://doctime.com.bd/doctors/asst-prof-dr-fateha-naznin-13640680,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/13726248/profile_photos/TxLcY0tneyox8qXZpMOdZqoUpr7ldMpjuKk9DXnS.jpg,11,"Medicine Specialist,General Physician",4.9,900
Dr. Md Zawadul Islam Johny,https://doctime.com.bd/doctors/dr-md-zawadul-islam-johny-8453,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/8409/profile_photos/YRVMV5yW9vqSbFMr0KT2CkZqvEoSgfmIUQ6p0ipW.png,7,"Child Specialist,General Physician",5,250
Dr. Atia shorna,https://doctime.com.bd/doctors/dr-atia-shorna-11585170,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/11657788/profile_photos/VTAYQFj8ibnIrPoNvCOKmYrCfXzlVsp8Jl0cB74O.png,7,"General Physician,Dermatology",5,349
Dr. Mahbuba Laizu,https://doctime.com.bd/doctors/dr-mahbuba-laizu-9537353,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/9597036/profile_photos/acjVGv5I1oxZEos92UFtUBQAqCpAlRaryqbF9e6v.png,7,"General Physician,Child Specialist",5,290
Asst. Prof. Dr. Iffat Islam Khan,https://doctime.com.bd/doctors/asst-prof-dr-iffat-islam-khan-3881488,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/3971946/profile_photos/xYVoXnfh9fzlevAKtig3RhP6WsPBWX0RFS2f9EP4.png,10,"Physical Medicine & Rehabilitation Specialist,General Physician",5,470
Dr. S. M. Mufizur Rahman Sazal,https://doctime.com.bd/doctors/dr-s-m-mufizur-rahman-sazal-65813,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/79367/profile_photos/roEYxrmFvBvitefkg1ZFBayHZI62Ml6YTplFBAHm.png,7,General Physician,5,470
Dr. SALEH UDDIN AKBAR,https://doctime.com.bd/doctors/dr-saleh-uddin-akbar-16500041,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16615974/profile_photos/r6ELnwYsFPLEnai9xQN7w35KPEargDJihNwPTYK0.jpg,11,"General Physician,Child Specialist",5,260
