Doctor Name,Doctor Profile URL,Doctor Image,Experience (Years),Specialties,Rating (Max 5),Consultation Fee (BDT)
Dr. Riffat Sharmin,https://doctime.com.bd/doctors/dr-riffat-sharmin-13038462,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/13119741/profile_photos/DRUOW759V8i7BtJdPc23xaX0xg8Ieno8zqy8P2is.png,12,"Gynae & Obs,General Physician",5,400
Dr. Abubakker Siddique,https://doctime.com.bd/doctors/dr-abubakker-siddique-16146268,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16252078/profile_photos/jUEFoKZyvGnAV9UpYNAHSkycfPtj3eiSrk4yTmdB.jpg,10,"ENT Specialist,General Physician",5,750
Dr. Humayun Ahmed Nur,https://doctime.com.bd/doctors/dr-humayun-ahmed-nur-236232,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/292621/profile_photos/TY7KVR7NJoiPbKYNU9s1JJZ1aUq2hjoQZqafaGqT.jpg,10,General Physician,5,250
Dr. Md. Kamruzzaman Chowdhury,https://doctime.com.bd/doctors/dr-md-kamruzzaman-chowdhury-116028,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/144758/profile_photos/9iUGTluGOI2SjNwnzDzGE5JCBQ1uB3cTjwgPjlQj.jpg,5,"General Physician,Internal Medicine",5,425
Dr. Ayesha Ali,https://doctime.com.bd/doctors/dr-ayesha-ali-16254042,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16361287/profile_photos/8bbEgAKQVrqEbotNK2skcREd6THr3xqrWkLylSf4.jpg,8,"Medicine Specialist,General Physician",5,1050
Dr. SALAH UDDIN ANAS,https://doctime.com.bd/doctors/dr-salah-uddin-anas-16793031,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16919500/profile_photos/LL17RKmMtr0JZ7RmgOeRyerIIx2haE1xxDFj9ubx.jpg,11,"Pulmonologist,General Physician",5,750
Dr. Shariful Halim,https://doctime.com.bd/doctors/dr-shariful-halim-557788,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/669213/profile_photos/0iBr1Vsz6tbJcIicQyeZ6IkqQzLzFY11L1Hi1jkt.jpg,11,General Physician,5,680
Dr. Jannatun Nayem,https://doctime.com.bd/doctors/dr-jannatun-nayem-1726855,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/1843164/profile_photos/k4qUkTYkk5gaJeMDW0QFCaIh2NysAkGcpQ9lbhrE.jpg,5,"General Physician,Child Specialist",4.9,370
Dr. Md.Abde Hannan,https://doctime.com.bd/doctors/dr-mdabde-hannan-11169006,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/11239217/profile_photos/6jFmbL08kcX0C39Hn3fPl9YBMzLJXLneAyIlgZbC.png,4,General Physician,5,250
Dr. Rezwana Jahan,https://doctime.com.bd/doctors/dr-rezwana-jahan-130871,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/163658/profile_photos/yq4isZzM6X0eduAqhz1d2wykgPDFUJIIX64sBYOa.png,4,"Gynae & Obs,General Physician",5,250
Dr. Aminur Rasul,https://doctime.com.bd/doctors/dr-aminur-rasul-16215035,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16321673/profile_photos/qUQRocfi4l8DF6h23Z9TPqzG1ibxRrxIwqRW6yjo.jpg,12,"Orthopedist,General Physician",5,550
Asst. Prof. Dr. Aysha Sabiha,https://doctime.com.bd/doctors/asst-prof-dr-aysha-sabiha-16670348,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16792059/profile_photos/QTxLu7cGWkvjauCb3WYEHCA30QyOJEyw6dzeA7Kx.jpg,10,"Gastroenterology,General Physician",5,750
Dr. Afroza Sultana,https://doctime.com.bd/doctors/dr-afroza-sultana-82951,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/101149/profile_photos/Oi45tBBoZ3K3Zcd0yTlLo04rUJIBbvLWyFuHNsLW.png,8,"General Physician,Gynae & Obs",4.9,500
Dr. Md. Jahidul Haque,https://doctime.com.bd/doctors/dr-md-jahidul-haque-225695,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/280671/profile_photos/63UdO0rxRshQogdLiwkydi9vDZ34peiuNUWOZ06y.jpg,5,General Physician,5,250
Dr. Olivia Akter,https://doctime.com.bd/doctors/dr-olivia-akter-10330845,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/10395674/profile_photos/LhF2icjJ3nC98BxlJ8prSABq29kYubPR9tmUV5Dk.png,13,"Child Specialist,General Physician",5,550
Dr. S M Firoz Rashid,https://doctime.com.bd/doctors/dr-s-m-firoz-rashid-47904,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/57013/profile_photos/cqZtOq2EjQIEaaVSMWkWYSqLjgJFu8X6s176FXmy.png,7,General Physician,5,350
Dr. Imran Hafiz,https://doctime.com.bd/doctors/dr-imran-hafiz-4239,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/4197/profile_photos/uSmL5tweWBq8GuCpIkvdSrGWbcaDDymNwebQaLwd.png,8,General Physician,4.9,400
Dr. A R Chowdhury,https://doctime.com.bd/doctors/dr-a-r-chowdhury-390888,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/465501/profile_photos/VZNx6C5o5B1TqmMpOpqUsujKDFokKg9l7vREdHGO.jpg,4,General Physician,5,365
Dr. Nasrin Nahar,https://doctime.com.bd/doctors/dr-nasrin-nahar-12952899,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/13033515/profile_photos/7BW1orrmzYXsSS9lMZOS4iXj5cMyzyykeAhgqLW9.png,14,"Child Specialist,General Physician",5,550
Dr. Md. Moniruzzaman,https://doctime.com.bd/doctors/dr-md-moniruzzaman-1022770,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/1144176/profile_photos/QdbYUHY8sEwYKF2YVdQ3X90ckial0njTTvm7EsXz.jpg,7,General Physician,5,250
Dr. Shible Sadik,https://doctime.com.bd/doctors/dr-shible-sadik-6203620,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/6244742/profile_photos/oYVSEzz22WJ7KbOmRncKz35vTENh2ZiBkO3iAHj1.png,6,"General Physician,Ophthalmologist",5,250
Dr. Debolina pandit,https://doctime.com.bd/doctors/dr-debolina-pandit-10878541,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/10946881/profile_photos/oy0X1QfUv3aCv1dTzayXCzZCGVP8cZb1V03hPvUn.png,4,"Gynae & Obs,General Physician",5,350
Asst. Prof. Dr. Manira Khanam Nishi,https://doctime.com.bd/doctors/asst-prof-dr-manira-khanam-nishi-354180,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/423452/profile_photos/CL0IyD3QtGjvJkJgpxm8w8ovpfPXfm0Cf8emvnfE.jpg,6,General Physician,5,350
Dr. Md. Radwanur Rahman Anik,https://doctime.com.bd/doctors/dr-md-radwanur-rahman-anik-59079,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/70843/profile_photos/yYc9oeWytgBUo2dLSuJhH1SAROe8VqPykcAVWYvq.png,10,General Physician,5,550
Assoc. Prof. Dr. Md. Mahfuzul Haque Sarkar,https://doctime.com.bd/doctors/assoc-prof-dr-md-mahfuzul-haque-sarkar-9723,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/9679/profile_photos/Qz5CHp0LQ10C4qZ0JK7E5vXxjA9xmfbW9wLdzofB.png,11,General Physician,5,700
Dr. Abu Wahab Md Rizaul Arif,https://doctime.com.bd/doctors/dr-abu-wahab-md-rizaul-arif-2366004,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/2475367/profile_photos/3XA52shq08L7flfDEVJSsdigUMhTZPH6Ont8gz8B.png,29,General Physician,5,549
Dr. Akhiruzzaman Rakib,https://doctime.com.bd/doctors/dr-akhiruzzaman-rakib-202593,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/253206/profile_photos/ayHd5ukHWQJ5cWqQmmXkOe0eKxDZcIEYhBP57EFq.jpg,10,General Physician,5,300
Dr. Ashraful Islam,https://doctime.com.bd/doctors/dr-ashraful-islam-6965183,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/7010713/profile_photos/v1xqM31JEj98aXyvyVl3huBPUIHrKNWSObwxNDyt.jpg,9,"Cardiologist,General Physician",5,400
Dr. Farjana Mojumder,https://doctime.com.bd/doctors/dr-farjana-mojumder-6834400,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/6879218/profile_photos/chr9KMpkY8i6wgTYttikToNNBuPHvY7cfoix7OQQ.png,9,"General Physician,Endocrinologist",5,313
Dr. Nahid Azhar,https://doctime.com.bd/doctors/dr-nahid-azhar-71,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/70/profile_photos/T18VDR08VTaLDMfLUW6zEpq3UwHoZ9C2diDH2dky.jpeg,10,"General Physician,Cardiologist",4.9,418
Dr. Mohammed Zahadul Islam Chowdhury,https://doctime.com.bd/doctors/dr-mohammed-zahadul-islam-chowdhury-489311,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/588318/profile_photos/cNbh7rwsmcsWSCor6Z8NczN0aqscFVu9ouNccNV0.jpg,17,General Physician,5,260
Dr. Tawhid Uddin Ahmed,https://doctime.com.bd/doctors/dr-tawhid-uddin-ahmed-4430896,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/4510890/profile_photos/itRUKtFK0BD1nRo7mbW6bnoSECaLKpiBhZF3ad7n.png,5,"General Physician,Cardiologist",5,680
Dr. Ali Newaj Chowdhury Jishan,https://doctime.com.bd/doctors/dr-ali-newaj-chowdhury-jishan-116736,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/145781/profile_photos/XpNrgY9HA6BOFBv9e2SHU3GuMDjjjdaGvVRHf3Vn.jpg,7,"General Physician,Child Specialist",5,350
Dr. Md Sabbir Ahmmed,https://doctime.com.bd/doctors/dr-md-sabbir-ahmmed-53400,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/63805/profile_photos/GX61RTXPa7OIN0AWcsZ9NBHEdCOiNOQCKFMW3vWh.jpg,6,General Physician,4.8,250
Dr. Most. Nahida Akter,https://doctime.com.bd/doctors/dr-most-nahida-akter-1223489,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/1343952/profile_photos/q8RS0VPSDGaxtyLqnlnodgqEpPkrLonYW3CwaUOr.jpg,7,General Physician,5,350
Dr. Md. Ehsanul Kabir,https://doctime.com.bd/doctors/dr-md-ehsanul-kabir-287336,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/349502/profile_photos/1UZJn4cM7vd9fLsvnRcS5eGhk4f6Yig7jJLgJ0HY.jpg,19,General Physician,4.9,1310
Dr. Asma binte osman Shathi,https://doctime.com.bd/doctors/dr-asma-binte-osman-shathi-9522980,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/9582584/profile_photos/32uemK5aNHym5Mam8UIldhfDzRZoa0cvleWcG6QL.png,8,General Physician,5,350
Dr. Udity Roy,https://doctime.com.bd/doctors/dr-udity-roy-11005306,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/11074227/profile_photos/FYmabOiJcXYCBALblnoegXiiqDD6k3Cnd444Ggqw.jpg,5,"Gynae & Obs,General Physician",5,250
Dr. Md Altaf Hossain,https://doctime.com.bd/doctors/dr-md-altaf-hossain-13361852,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/13445321/profile_photos/zjs6RdAsf1cqtakPFaey5EulB6pQkHnFOZ7cTyAN.png,4,General Physician,5,300
Dr. Nourin Nahar,https://doctime.com.bd/doctors/dr-nourin-nahar-36411,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/43442/profile_photos/i50Gj0NEK4TzPRITTfQEvwdDbfUEbLBSID3OO2CI.png,7,General Physician,4.9,400
Dr. Ishteak Ahmed Oneek,https://doctime.com.bd/doctors/dr-ishteak-ahmed-oneek-515884,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/620312/profile_photos/R4zM5j9GJOYjtLarQI9t84FkBHTgtJcFEG4REJQd.jpg,11,General Physician,5,550
Dr. Taslim Ul Islam,https://doctime.com.bd/doctors/dr-taslim-ul-islam-244914,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/302265/profile_photos/DOHJ5SGAbfMiRTMY6Lsmyjf0EEpVxJDob05jTSe8.png,9,"Internal Medicine,Family Medicine,General Physician",5,350
Dr. Anwarul Kabir,https://doctime.com.bd/doctors/dr-anwarul-kabir-16547553,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16665104/profile_photos/1Qn3e4FyAXkgnd9gkQWUAWHLYqMQqZQ0wJ8DXo9Y.jpg,14,"General Physician,Internal Medicine",5,270
Dr. Tanzina Parvin,https://doctime.com.bd/doctors/dr-tanzina-parvin-4411416,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/4491774/profile_photos/hx5U5OLwdx7MRnVGX6Z9AwDs22lG0XEMkylr1QrS.png,4,"General Physician,Gynae & Obs",4.8,260
Dr. NRIPENDRA NATH ROY,https://doctime.com.bd/doctors/dr-nripendra-nath-roy-2241327,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/2352031/profile_photos/zpzCPZsyN1NsdkrrjB0V6aPG3zfPZhdoshJFizwU.png,8,"General Physician,ENT Specialist",4.9,250
Dr. Hasan jamil ibne rouf,https://doctime.com.bd/doctors/dr-hasan-jamil-ibne-rouf-11241792,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/11312488/profile_photos/flBzNdk22JsrnhxpxXDHktxLbjRJp6Ww7EaF8Q23.png,11,"ENT Specialist,General Physician",5,450
Dr. Md.Mahidul Islam,https://doctime.com.bd/doctors/dr-mdmahidul-islam-263437,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/322869/profile_photos/wM2yf4ccoZwGOUGysCBBuCc4E1fse6MKrLapfCP3.png,5,General Physician,4.9,260
Dr. Tajkiratun Naim,https://doctime.com.bd/doctors/dr-tajkiratun-naim-14464940,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/14556551/profile_photos/Hc5cYrKQMrYlvuN5vipRnmgJRBdee6zP2dHeU9sp.jpg,11,"Ophthalmologist,General Physician",5,450
Dr. TANIA AKTAR RANU,https://doctime.com.bd/doctors/dr-tania-aktar-ranu-8839690,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/8894959/profile_photos/EvbNeCrKb3OsDXaEFcjIAcxs6yZWKBT12vJlPjFd.png,12,"General Physician,Child Specialist",5,300
Dr. MD.SHAHZALAL UDDIN,https://doctime.com.bd/doctors/dr-mdshahzalal-uddin-496389,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/596832/profile_photos/hf0zVxODYPR0H90L8epngFoNWY7w0DFN7H6Vxc98.png,10,General Physician,5,365
Dr. Niamul Maula Akash,https://doctime.com.bd/doctors/dr-niamul-maula-akash-57961,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/69622/profile_photos/oUS7c2mDNIldxArmDme8sH7znmGAltLbprFnn0Hz.jpg,7,General Physician,5,550
Dr. Rezwana Karim Roshny,https://doctime.com.bd/doctors/dr-rezwana-karim-roshny-8493035,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/8546525/profile_photos/7otRf4jNiutrENzNpaydzvLJsY90tacxCoR2Ijka.png,11,General Physician,5,550
Dr. Tapas Majumder,https://doctime.com.bd/doctors/dr-tapas-majumder-716722,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/838898/profile_photos/KLbiNQK74beySTiVHSjwOsZG6uu7n1Tf0Sbx3ref.jpg,16,"General Physician,Internal Medicine",5,500
Dr. Sharmin Akter,https://doctime.com.bd/doctors/dr-sharmin-akter-309944,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/374566/profile_photos/g8ICiy6JdrnHGh8FAud1U3NaPbW4hegSvn5UO2j9.jpg,5,General Physician,5,250
Dr. TANJIRUL ISLAM,https://doctime.com.bd/doctors/dr-tanjirul-islam-14827285,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/14921596/profile_photos/F9k8KE0uBPhSGVrAaZkqEf2u7ANFguiyNeK9c20K.jpg,8,"Child Specialist,General Physician",5,550
Dr. Sabbosachi biswas,https://doctime.com.bd/doctors/dr-sabbosachi-biswas-49573,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/59162/profile_photos/ybvQOJh4CCAoufN348RcOTo8Spn6qxq99oZaiQFr.png,6,General Physician,5,260
Dr. Ifaz Hossain Chowdhury,https://doctime.com.bd/doctors/dr-ifaz-hossain-chowdhury-48460,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/57730/profile_photos/0gWLMlHwMRc7EhG2DaEs6qd6QVvs11306Rl2eWpv.jpg,7,General Physician,5,450
Dr. Nurunnessa Sathi,https://doctime.com.bd/doctors/dr-nurunnessa-sathi-1517760,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/1636048/profile_photos/k6B7EZMJ3ZU5hi6YixwJy3GksJxJbwrqmh7y5Omi.jpg,3,"General Physician,Gynae & Obs",4.9,250
Dr. Abrar Kabir,https://doctime.com.bd/doctors/dr-abrar-kabir-16050139,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16155175/profile_photos/Srs7JlkHmizgTS2Z8WZlM5BDMqmy0oGms9R2QPCl.jpg,7,General Physician,5,350
Dr. Suvoshree Das,https://doctime.com.bd/doctors/dr-suvoshree-das-157661,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/197738/profile_photos/V7EkuhqnV2KzjCvAudhcIhiyvF3aBtVa9anEF6Gd.jpg,6,General Physician,5,450
Dr. Ashraful Alam,https://doctime.com.bd/doctors/dr-ashraful-alam-16474593,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16589554/profile_photos/e4ufnFtUqyqpogaXvOh10ftDjtiTqXv0SmMQTurA.jpg,7,"Child Specialist,General Physician",5,260
Dr. Md. Faisal Huda,https://doctime.com.bd/doctors/dr-md-faisal-huda-16442950,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16556514/profile_photos/DyEzhnguLxJZaETk5L9Hkv7R08Bjm5DmJQRoRwU1.jpg,9,"Medicine Specialist,General Physician",5,850
Dr. Md. Saifullah Saif,https://doctime.com.bd/doctors/dr-md-saifullah-saif-12477677,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/12555593/profile_photos/Rq8pSkdkJ7S0RaII2KMm9UJXZDi8lvR44ctXyNbe.png,8,"General Physician,Cardiologist",5,450
Dr. MD. Akik Hossain,https://doctime.com.bd/doctors/dr-md-akik-hossain-10122483,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/10185957/profile_photos/wpn5T3BwTdN4LKqftty0pmTsq1XlnYiRpfNEv1ia.png,1,"General Physician,Dermatology,Internal Medicine",5,550
Dr. Shaon Mohalder,https://doctime.com.bd/doctors/dr-shaon-mohalder-5176508,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/5240804/profile_photos/AVDH783jtEHqONBcyUzIEAgUWUWID6NiumYrVF82.png,8,"General Physician,Cardiologist,Internal Medicine",5,350
Dr. Muhammad Ashraf Ul Alam,https://doctime.com.bd/doctors/dr-muhammad-ashraf-ul-alam-15989915,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16094465/profile_photos/lMNzewneujE3ZTBTI6gJ2MdIjamHejqspTzYd1xO.jpg,5,"Orthopedist,General Physician",5,650
Dr. H M MASHIUR RAHMAN,https://doctime.com.bd/doctors/dr-h-m-mashiur-rahman-166075,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/207409/profile_photos/vyvyUv0cwu07dBYtjHJDzYlXCzz8X8KBhEKV6WG3.jpg,7,General Physician,5,400
Dr. MST. UMME HABIBA,https://doctime.com.bd/doctors/dr-mst-umme-habiba-424869,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/506968/profile_photos/ViniwZ2qcGHpCH3EdqSTvBsJn1ka04gkrNDuRBdL.png,8,General Physician,5,360
Dr. Ahsan Abdullah,https://doctime.com.bd/doctors/dr-ahsan-abdullah-27367,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/32415/profile_photos/YiiJ6f5o6lvP7d7NeBmpwOtMobTeF0Tvpi745iPo.png,6,General Physician,5,250
Dr. Sarowar Jahan,https://doctime.com.bd/doctors/dr-sarowar-jahan-5510,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/5468/profile_photos/ZvKl7Fs3ECWUQlgDuu3tGnTzPCeNigLogh101ZQA.png,6,General Physician,5,300
Dr. MAHFUZUL KARIM,https://doctime.com.bd/doctors/dr-mahfuzul-karim-7458479,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/7506700/profile_photos/sxm1JX66p1ZVAKF20WV2HZLxovbQhsleYX7rDPuh.png,18,General Physician,5,650
Dr. Afsana Zahan Bristy,https://doctime.com.bd/doctors/dr-afsana-zahan-bristy-196449,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/245515/profile_photos/7RUtzVwRIxtxoqGWGI40n4sUrDms8AWNhIKhOeIT.jpg,7,General Physician,5,550
Dr. Suraya Zebin Mousumi,https://doctime.com.bd/doctors/dr-suraya-zebin-mousumi-83049,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/101277/profile_photos/CE8J5bQzPCqzKzWgCi2vp8ei9Lu6TJbshnoOv6vt.jpg,9,General Physician,5,500
Dr. Md. Naim Uddin,https://doctime.com.bd/doctors/dr-md-naim-uddin-283817,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/345466/profile_photos/EZWKNEYX7uut1aEPNLWH2J7aupqsPAJqoxKLvTcY.jpg,9,General Physician,5,550
Dr. Samin Yaser Akash,https://doctime.com.bd/doctors/dr-samin-yaser-akash-177756,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/221761/profile_photos/PGh4qYvdoyGxjI0Wfux4tqTmeR0z0AJ2TdSrJl5c.png,6,"General Physician,Internal Medicine",5,575
Dr. Upal Chowdhury,https://doctime.com.bd/doctors/dr-upal-chowdhury-132759,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/166183/profile_photos/F9H4IFb2uJo3pmuEWEkGnFzTG1h3jKmhKPud7X9w.jpg,7,General Physician,5,300
Dr. Shakil Ahmed,https://doctime.com.bd/doctors/dr-shakil-ahmed-9686,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/9642/profile_photos/5nm3W4b8MAEldAd83jqICujdUNs1ryyDFRJAgGYJ.jpg,9,"General Physician,Child Specialist",5,550
Dr. Turanjoy Mukherjee,https://doctime.com.bd/doctors/dr-turanjoy-mukherjee-66,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/65/profile_photos/xILxW3fTnOYwp1T5iD0BEt3RHC0NF2gDZki51kaj.jpeg,9,General Physician,5,350
Dr. Tahsin Mahmud Sadman,https://doctime.com.bd/doctors/dr-tahsin-mahmud-sadman-164813,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/206001/profile_photos/BbCyX9PolpJYM8sT6EPPweYOP5ZeKl1saXg946LI.jpg,7,General Physician,5,365
Dr. Najma Sultana,https://doctime.com.bd/doctors/dr-najma-sultana-12886641,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/12966935/profile_photos/bk6kvHUyjf4OlMbnlLmqjZ8Iot6GqqY5wSaXNJtZ.png,6,"Ophthalmologist,General Physician",5,575
Dr. MOSTAFA MAHTAB TOAHA,https://doctime.com.bd/doctors/dr-mostafa-mahtab-toaha-59502,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/71318/profile_photos/y1nmjM5x0MERR8VdOzxQhNDoAmLTZFT2VTLGivxv.jpg,10,General Physician,5,350
Dr. Ihabul Alam,https://doctime.com.bd/doctors/dr-ihabul-alam-179228,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/223601/profile_photos/5vhhHV4Xx0AFtfDJN3qJEDQ6Df8UGfo3qwacTXNY.jpg,4,General Physician,5,270
Dr. AHASAN HABIB,https://doctime.com.bd/doctors/dr-ahasan-habib-3126404,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/3226317/profile_photos/k6ZS8gSKaePL5SgOIS2F1l4P2GfRsZChVyWIZrTC.png,6,"General Physician,Family Medicine",5,350
Dr. Sumaiya Islam,https://doctime.com.bd/doctors/dr-sumaiya-islam-2512484,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/2620059/profile_photos/qKYGeYzDRy4K5wx7W90KOuy5uZnJb8MhfiH8LkIp.jpg,6,General Physician,5,350
Dr. Maisha Maliha Shams,https://doctime.com.bd/doctors/dr-maisha-maliha-shams-16478813,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16593941/profile_photos/bCFMUYtTGP6l2FrFRD6h7DA7PnAxWcp24GTZKX6N.jpg,5,General Physician,5,250
Dr. Raisa Saraf Chowdhury,https://doctime.com.bd/doctors/dr-raisa-saraf-chowdhury-16627907,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16748052/profile_photos/W7UG2AoLG5ybf1IQaWqaaWxMVl6OS9hmIrwX3fwn.jpg,7,General Physician,5,350
Dr. SK Abid Al Hasan,https://doctime.com.bd/doctors/dr-sk-abid-al-hasan-3532458,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/3627813/profile_photos/hv3h6zxzor8IPHLAQ51q6LtJMdu2b20iZugSJRE3.png,9,General Physician,5,313
Dr. K.M.Munim Hasan,https://doctime.com.bd/doctors/dr-kmmunim-hasan-712556,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/834717/profile_photos/t3KBCMtBPDPOTnVvcKO2LgUScbIlWj5SWLT7AHV5.jpg,6,General Physician,5,250
Dr. Md. Mahmudul Hasan,https://doctime.com.bd/doctors/dr-md-mahmudul-hasan-111001,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/137985/profile_photos/pecwWUCKAaypcTybtbehLI8VCRleMVUO76l8wtoU.jpg,6,General Physician,5,640
